transaction_date,area,property_type,bedrooms,size_sqft,off_plan,price_aed,annual_rent_aed
2019-01-16,Dubai Marina,Apartment,0,304.0,True,460000.0,28400.0
2019-01-16,Jumeirah Village Circle,Apartment,1,1106.0,True,704000.0,51700.0
2019-01-18,Arabian Ranches,Townhouse,4,3032.0,False,3143000.0,170300.0
2019-01-18,Business Bay,Apartment,2,1176.0,False,1548000.0,86500.0
2019-01-19,Dubai Hills Estate,Apartment,1,957.0,False,1216000.0,78900.0
2019-01-19,Palm Jumeirah,Villa,3,2800.0,True,6346000.0,275200.0
2019-01-19,Jumeirah Lake Towers,Apartment,0,428.0,False,539000.0,39600.0
2019-01-20,Jumeirah Lake Towers,Apartment,1,882.0,True,811000.0,58500.0
2019-01-20,Downtown Dubai,Townhouse,4,3520.0,False,6756000.0,360600.0
2019-01-20,Business Bay,Apartment,1,897.0,False,1400000.0,95500.0
2019-01-21,Jumeirah Lake Towers,Apartment,1,875.0,False,819000.0,69600.0
2019-01-21,Dubai Marina,Apartment,0,490.0,True,716000.0,49200.0
2019-01-21,Business Bay,Apartment,2,1410.0,False,2679000.0,192400.0
2019-01-21,Palm Jumeirah,Apartment,2,1217.0,False,2594000.0,125500.0
2019-01-21,Dubai South,Apartment,3,1662.0,False,940000.0,65600.0
2019-01-21,International City,Apartment,1,1075.0,False,517000.0,44500.0
2019-01-22,Arabian Ranches,Apartment,0,361.0,True,412000.0,28700.0
2019-01-22,International City,Apartment,0,385.0,False,177000.0,13900.0
2019-01-22,Dubai South,Apartment,0,535.0,True,300000.0,24100.0
2019-01-22,Downtown Dubai,Apartment,1,912.0,True,1407000.0,81300.0
2019-01-22,Business Bay,Apartment,2,947.0,False,1231000.0,99100.0
2019-01-22,Jumeirah Village Circle,Apartment,2,1280.0,False,927000.0,81000.0
2019-01-22,Jumeirah Lake Towers,Apartment,0,548.0,False,501000.0,36800.0
2019-01-23,Palm Jumeirah,Apartment,3,2021.0,True,5309000.0,235700.0
2019-01-23,Palm Jumeirah,Villa,3,3653.0,False,7685000.0,310500.0
2019-01-24,International City,Apartment,0,448.0,False,174000.0,12300.0
2019-01-24,Jumeirah Village Circle,Apartment,0,528.0,False,362000.0,33000.0
2019-01-24,Dubai Hills Estate,Apartment,1,974.0,False,1499000.0,91800.0
2019-01-24,Jumeirah Lake Towers,Apartment,0,370.0,False,401000.0,26900.0
2019-01-25,Downtown Dubai,Apartment,3,1495.0,True,3194000.0,172000.0
2019-01-25,International City,Apartment,1,958.0,True,387000.0,38500.0
2019-01-25,Jumeirah Lake Towers,Apartment,0,463.0,True,387000.0,25500.0
2019-01-25,Dubai Marina,Apartment,2,1195.0,False,1856000.0,122500.0
2019-01-26,Business Bay,Apartment,3,2076.0,True,3341000.0,192200.0
2019-01-26,Dubai South,Apartment,3,1871.0,False,1085000.0,87700.0
2019-01-26,Jumeirah Village Circle,Apartment,3,1745.0,False,1527000.0,131000.0
2019-01-27,International City,Apartment,2,1308.0,False,521000.0,44700.0
2019-01-27,Business Bay,Apartment,1,750.0,False,1379000.0,86900.0
2019-01-28,International City,Apartment,2,1166.0,False,471000.0,48400.0
2019-01-28,Jumeirah Village Circle,Apartment,0,480.0,False,391000.0,32500.0
2019-01-28,Jumeirah Lake Towers,Apartment,2,1256.0,True,1571000.0,109400.0
2019-01-28,Dubai South,Apartment,2,1231.0,True,819000.0,61700.0
2019-02-01,Dubai South,Apartment,3,1820.0,False,1174000.0,83900.0
2019-02-02,Downtown Dubai,Apartment,1,828.0,True,1870000.0,89000.0
2019-02-03,Jumeirah Lake Towers,Apartment,1,991.0,True,834000.0,54800.0
2019-02-03,Arabian Ranches,Apartment,1,859.0,False,762000.0,36500.0
2019-02-04,Downtown Dubai,Apartment,1,776.0,False,1493000.0,73500.0
2019-02-04,Dubai South,Apartment,2,1279.0,True,726000.0,57000.0
2019-02-04,Palm Jumeirah,Apartment,0,472.0,True,1142000.0,61900.0
2019-02-04,Dubai Marina,Apartment,3,1682.0,False,2096000.0,112100.0
2019-02-04,Jumeirah Village Circle,Apartment,0,395.0,True,333000.0,26300.0
2019-02-05,Dubai Marina,Apartment,3,1908.0,False,2689000.0,170900.0
2019-02-05,Dubai South,Apartment,1,810.0,False,557000.0,41700.0
2019-02-05,Downtown Dubai,Apartment,0,431.0,False,719000.0,42200.0
2019-02-05,Dubai South,Apartment,1,1098.0,False,684000.0,49600.0
2019-02-05,Dubai South,Apartment,0,398.0,False,271000.0,15600.0
2019-02-06,Arabian Ranches,Villa,3,3011.0,False,3013000.0,185400.0
2019-02-06,Palm Jumeirah,Villa,5,3776.0,True,8087000.0,393700.0
2019-02-06,Jumeirah Village Circle,Apartment,2,1423.0,True,1098000.0,86200.0
2019-02-07,Jumeirah Village Circle,Apartment,1,757.0,False,638000.0,51300.0
2019-02-07,Dubai Hills Estate,Apartment,3,1556.0,False,2343000.0,125700.0
2019-02-08,Palm Jumeirah,Villa,3,3554.0,False,6674000.0,323500.0
2019-02-08,Dubai South,Villa,6,3871.0,False,2581000.0,191000.0
2019-02-08,Palm Jumeirah,Apartment,2,1377.0,False,3519000.0,152100.0
2019-02-08,Arabian Ranches,Apartment,2,1230.0,False,1293000.0,65000.0
2019-02-08,Jumeirah Village Circle,Apartment,1,783.0,True,589000.0,49400.0
2019-02-09,Dubai South,Villa,5,3986.0,False,2647000.0,177600.0
2019-02-09,Dubai Hills Estate,Apartment,2,1162.0,False,1551000.0,95000.0
2019-02-10,Arabian Ranches,Apartment,0,492.0,False,480000.0,23900.0
2019-02-10,Dubai Marina,Apartment,0,494.0,False,755000.0,43400.0
2019-02-10,Dubai Marina,Apartment,3,1796.0,True,2521000.0,146800.0
2019-02-10,Jumeirah Lake Towers,Apartment,3,1566.0,False,1390000.0,90900.0
2019-02-10,Arabian Ranches,Apartment,3,1737.0,False,1662000.0,88700.0
2019-02-11,Palm Jumeirah,Villa,3,2770.0,False,5779000.0,274000.0
2019-02-11,Business Bay,Apartment,1,924.0,False,1073000.0,67800.0
2019-02-11,Dubai Marina,Apartment,0,485.0,True,640000.0,34900.0
2019-02-11,International City,Apartment,3,1655.0,False,735000.0,67300.0
2019-02-12,Arabian Ranches,Apartment,0,458.0,True,350000.0,17800.0
2019-02-12,Dubai Marina,Apartment,1,920.0,True,1417000.0,83000.0
2019-02-13,International City,Apartment,1,890.0,False,404000.0,35900.0
2019-02-13,Business Bay,Apartment,2,1311.0,True,1868000.0,124000.0
2019-02-13,Jumeirah Village Circle,Apartment,3,1889.0,False,1442000.0,108100.0
2019-02-14,Dubai Hills Estate,Apartment,0,680.0,False,948000.0,53600.0
2019-02-14,Dubai Hills Estate,Villa,4,3352.0,False,5929000.0,302600.0
2019-02-14,International City,Apartment,1,761.0,False,299000.0,28500.0
2019-02-14,Downtown Dubai,Apartment,1,868.0,False,1685000.0,88400.0
2019-02-14,International City,Apartment,0,523.0,False,180000.0,16000.0
2019-02-14,Downtown Dubai,Apartment,0,494.0,True,1167000.0,63800.0
2019-02-15,International City,Apartment,2,1111.0,False,452000.0,38900.0
2019-02-15,Downtown Dubai,Apartment,0,300.0,False,875000.0,47500.0
2019-02-15,Downtown Dubai,Apartment,0,460.0,True,665000.0,44700.0
2019-02-15,Business Bay,Apartment,2,1385.0,True,2016000.0,123800.0
2019-02-15,Dubai Hills Estate,Apartment,1,798.0,False,1145000.0,69700.0
2019-02-15,Jumeirah Village Circle,Apartment,3,1730.0,False,1388000.0,122600.0
2019-02-15,Downtown Dubai,Apartment,1,871.0,False,1879000.0,104200.0
2019-02-15,International City,Apartment,1,896.0,True,418000.0,32800.0
2019-02-15,Dubai South,Apartment,2,1406.0,False,872000.0,67900.0
2019-02-15,Jumeirah Village Circle,Apartment,3,1809.0,False,1280000.0,93600.0
2019-02-15,Downtown Dubai,Apartment,0,587.0,False,1054000.0,68100.0
2019-02-15,Palm Jumeirah,Apartment,3,1597.0,False,4035000.0,230600.0
2019-02-16,Downtown Dubai,Apartment,0,437.0,False,862000.0,41500.0
2019-02-16,Jumeirah Lake Towers,Apartment,1,831.0,True,666000.0,45800.0
2019-02-16,Jumeirah Village Circle,Apartment,1,1008.0,False,952000.0,78900.0
2019-02-16,Dubai Hills Estate,Apartment,0,457.0,False,574000.0,34800.0
2019-02-16,Dubai Marina,Apartment,3,1866.0,False,2694000.0,161100.0
2019-02-17,Jumeirah Lake Towers,Apartment,0,440.0,True,384000.0,26500.0
2019-02-17,Jumeirah Village Circle,Apartment,0,546.0,False,403000.0,28700.0
2019-02-17,Dubai Hills Estate,Apartment,2,1203.0,True,1438000.0,86000.0
2019-02-17,Jumeirah Lake Towers,Apartment,3,1705.0,True,1555000.0,79900.0
2019-02-18,Dubai Hills Estate,Apartment,1,722.0,False,1052000.0,64000.0
2019-02-18,Palm Jumeirah,Apartment,1,837.0,False,2013000.0,111100.0
2019-02-19,Dubai South,Villa,6,4015.0,False,2659000.0,236300.0
2019-02-19,Palm Jumeirah,Apartment,2,1528.0,False,3255000.0,186000.0
2019-02-19,International City,Apartment,1,974.0,False,395000.0,34900.0
2019-02-20,Dubai Hills Estate,Villa,3,2991.0,False,3715000.0,192200.0
2019-02-20,Jumeirah Village Circle,Apartment,2,1531.0,False,1074000.0,98400.0
2019-02-20,Arabian Ranches,Apartment,1,885.0,False,971000.0,41900.0
2019-02-20,Dubai South,Villa,6,3877.0,False,2313000.0,160500.0
2019-02-21,Arabian Ranches,Apartment,0,456.0,False,499000.0,25500.0
2019-02-21,Arabian Ranches,Apartment,3,1676.0,False,1604000.0,82300.0
2019-02-22,Dubai South,Villa,3,2803.0,True,1832000.0,136900.0
2019-02-22,Dubai Marina,Apartment,2,1085.0,False,1704000.0,82000.0
2019-02-22,International City,Apartment,2,1526.0,False,700000.0,63300.0
2019-02-23,International City,Apartment,0,300.0,False,139000.0,12000.0
2019-02-23,Dubai South,Apartment,3,1112.0,False,752000.0,65300.0
2019-02-23,Jumeirah Village Circle,Apartment,3,1681.0,False,1739000.0,150700.0
2019-02-23,Dubai Hills Estate,Apartment,1,855.0,False,1114000.0,58100.0
2019-02-23,Dubai Hills Estate,Apartment,2,1412.0,True,2055000.0,115200.0
2019-02-24,Jumeirah Village Circle,Apartment,0,431.0,False,358000.0,28900.0
2019-02-24,Dubai Marina,Apartment,0,390.0,False,537000.0,33600.0
2019-02-24,Jumeirah Lake Towers,Apartment,0,441.0,True,426000.0,28400.0
2019-02-24,Jumeirah Village Circle,Apartment,0,631.0,False,507000.0,41500.0
2019-02-24,Downtown Dubai,Apartment,0,461.0,False,912000.0,45400.0
2019-02-24,Business Bay,Apartment,0,491.0,False,781000.0,49300.0
2019-02-25,Jumeirah Lake Towers,Apartment,2,1020.0,False,1151000.0,95600.0
2019-02-25,International City,Apartment,3,1485.0,False,739000.0,68100.0
2019-02-26,Downtown Dubai,Apartment,0,460.0,False,941000.0,43300.0
2019-02-26,Dubai South,Villa,5,4003.0,False,2452000.0,217000.0
2019-02-27,Jumeirah Lake Towers,Townhouse,6,3495.0,False,3273000.0,225800.0
2019-02-27,Dubai South,Apartment,2,1306.0,False,753000.0,60000.0
2019-02-28,Business Bay,Apartment,1,757.0,False,1345000.0,91700.0
2019-02-28,Palm Jumeirah,Apartment,3,1975.0,False,4815000.0,282800.0
2019-02-28,Dubai Marina,Apartment,3,2035.0,False,3556000.0,210300.0
2019-02-28,Dubai South,Apartment,1,922.0,False,564000.0,43100.0
2019-03-01,Dubai Hills Estate,Villa,4,3417.0,False,4425000.0,222700.0
2019-03-01,Dubai Marina,Apartment,3,1667.0,True,2448000.0,191700.0
2019-03-01,Arabian Ranches,Townhouse,3,2718.0,False,3458000.0,155600.0
2019-03-01,International City,Apartment,2,1478.0,False,702000.0,67200.0
2019-03-01,Business Bay,Apartment,2,1282.0,False,2116000.0,136600.0
2019-03-02,Dubai Hills Estate,Townhouse,4,3234.0,False,4483000.0,299300.0
2019-03-02,Business Bay,Apartment,3,1818.0,False,3088000.0,216000.0
2019-03-02,Jumeirah Lake Towers,Townhouse,6,3508.0,False,3692000.0,243600.0
2019-03-02,Business Bay,Apartment,1,938.0,False,1398000.0,92200.0
2019-03-03,Dubai South,Apartment,3,1937.0,False,1186000.0,93000.0
2019-03-04,Jumeirah Lake Towers,Apartment,0,513.0,False,510000.0,35000.0
2019-03-04,Dubai Marina,Apartment,2,1146.0,False,1374000.0,84300.0
2019-03-05,Dubai South,Apartment,1,879.0,False,731000.0,52400.0
2019-03-05,Downtown Dubai,Apartment,0,463.0,False,922000.0,50900.0
2019-03-05,Dubai Marina,Townhouse,5,2770.0,False,4023000.0,224600.0
2019-03-06,Palm Jumeirah,Apartment,1,948.0,True,1827000.0,95500.0
2019-03-06,Jumeirah Lake Towers,Apartment,3,1883.0,False,1415000.0,87300.0
2019-03-06,Dubai Marina,Apartment,2,1222.0,False,1960000.0,114200.0
2019-03-06,Dubai Hills Estate,Villa,4,3629.0,False,3786000.0,234300.0
2019-03-06,Dubai Hills Estate,Villa,6,4313.0,False,5517000.0,307500.0
2019-03-07,International City,Apartment,1,864.0,False,343000.0,30300.0
2019-03-07,Arabian Ranches,Apartment,3,1966.0,False,1975000.0,109200.0
2019-03-07,International City,Townhouse,5,3635.0,False,1610000.0,146600.0
2019-03-07,Jumeirah Lake Towers,Apartment,2,1589.0,False,1310000.0,91300.0
2019-03-07,Palm Jumeirah,Townhouse,3,2452.0,True,5553000.0,292800.0
2019-03-08,Jumeirah Village Circle,Apartment,1,917.0,True,748000.0,54300.0
2019-03-08,Dubai Marina,Apartment,3,1666.0,True,2509000.0,152700.0
2019-03-08,Jumeirah Village Circle,Apartment,3,2012.0,False,1925000.0,157800.0
2019-03-08,Downtown Dubai,Apartment,3,1765.0,False,3570000.0,247800.0
2019-03-09,Dubai South,Apartment,0,468.0,False,272000.0,21200.0
2019-03-09,Jumeirah Lake Towers,Apartment,0,464.0,False,379000.0,24800.0
2019-03-09,Palm Jumeirah,Apartment,2,1347.0,False,3128000.0,144700.0
2019-03-09,Dubai Marina,Apartment,2,993.0,True,1752000.0,103400.0
2019-03-10,Jumeirah Lake Towers,Apartment,1,783.0,False,772000.0,53400.0
2019-03-11,International City,Apartment,2,1199.0,False,457000.0,42300.0
2019-03-11,Jumeirah Village Circle,Apartment,2,1289.0,True,792000.0,57000.0
2019-03-11,Business Bay,Apartment,2,1314.0,False,2009000.0,150800.0
2019-03-11,Jumeirah Lake Towers,Apartment,3,1779.0,False,1693000.0,109000.0
2019-03-12,Dubai Marina,Apartment,3,1541.0,False,2375000.0,145700.0
2019-03-12,Jumeirah Village Circle,Apartment,2,1498.0,False,1232000.0,101700.0
2019-03-12,International City,Apartment,2,1171.0,False,427000.0,43100.0
2019-03-13,Dubai Marina,Apartment,0,542.0,True,889000.0,58600.0
2019-03-13,Dubai Hills Estate,Apartment,2,1221.0,True,1528000.0,92500.0
2019-03-13,Downtown Dubai,Apartment,2,1156.0,False,2103000.0,103700.0
2019-03-13,Dubai Hills Estate,Apartment,1,951.0,True,1102000.0,70300.0
2019-03-13,Business Bay,Apartment,2,1260.0,False,1934000.0,126100.0
2019-03-14,Dubai Hills Estate,Apartment,2,1089.0,False,1590000.0,83300.0
2019-03-14,Dubai South,Apartment,0,468.0,True,392000.0,36900.0
2019-03-14,Jumeirah Village Circle,Apartment,1,779.0,False,542000.0,48600.0
2019-03-15,International City,Apartment,1,1018.0,False,579000.0,49600.0
2019-03-15,Palm Jumeirah,Apartment,1,860.0,False,2061000.0,113100.0
2019-03-16,Jumeirah Village Circle,Apartment,1,780.0,False,477000.0,41800.0
2019-03-16,Downtown Dubai,Apartment,2,1438.0,True,2323000.0,114600.0
2019-03-16,Dubai Marina,Apartment,0,484.0,True,639000.0,43900.0
2019-03-17,Dubai Hills Estate,Apartment,1,1012.0,False,1239000.0,77800.0
2019-03-17,Jumeirah Village Circle,Apartment,1,776.0,False,538000.0,49000.0
2019-03-17,Jumeirah Village Circle,Apartment,2,1310.0,True,1018000.0,92700.0
2019-03-17,Jumeirah Village Circle,Apartment,3,1663.0,False,1080000.0,94200.0
2019-03-18,Business Bay,Apartment,0,365.0,True,464000.0,24500.0
2019-03-18,Business Bay,Apartment,2,1263.0,False,1379000.0,88300.0
2019-03-18,Dubai Hills Estate,Apartment,0,401.0,True,596000.0,41000.0
2019-03-18,Palm Jumeirah,Villa,6,4571.0,False,11777000.0,723000.0
2019-03-18,Palm Jumeirah,Villa,4,3131.0,False,5453000.0,294900.0
2019-03-19,Arabian Ranches,Apartment,0,462.0,False,502000.0,30200.0
2019-03-19,Dubai South,Apartment,3,1914.0,False,1369000.0,105500.0
2019-03-19,Dubai South,Townhouse,5,3427.0,False,1997000.0,148700.0
2019-03-19,Jumeirah Village Circle,Apartment,0,388.0,False,348000.0,24600.0
2019-03-20,Jumeirah Lake Towers,Apartment,0,424.0,False,411000.0,33000.0
2019-03-20,Dubai Hills Estate,Apartment,1,795.0,False,1175000.0,69700.0
2019-03-21,Arabian Ranches,Apartment,3,1695.0,False,2041000.0,109700.0
2019-03-21,International City,Apartment,0,462.0,False,160000.0,15300.0
2019-03-21,Jumeirah Village Circle,Apartment,1,831.0,False,691000.0,53000.0
2019-03-21,Dubai Hills Estate,Apartment,1,983.0,True,1461000.0,88400.0
2019-03-21,Jumeirah Lake Towers,Apartment,1,896.0,False,973000.0,80200.0
2019-03-21,Arabian Ranches,Apartment,1,754.0,False,606000.0,32800.0
2019-03-22,Jumeirah Village Circle,Apartment,0,435.0,False,444000.0,33700.0
2019-03-22,Dubai Hills Estate,Villa,3,3176.0,True,3780000.0,212900.0
2019-03-23,Jumeirah Village Circle,Apartment,0,461.0,False,367000.0,31900.0
2019-03-23,International City,Apartment,3,1873.0,False,755000.0,62200.0
2019-03-23,Jumeirah Lake Towers,Apartment,3,1923.0,False,2496000.0,168600.0
2019-03-23,Dubai Hills Estate,Apartment,1,932.0,False,1197000.0,61000.0
2019-03-24,Arabian Ranches,Apartment,2,1358.0,False,1244000.0,56800.0
2019-03-24,International City,Apartment,2,1496.0,True,610000.0,52100.0
2019-03-24,Downtown Dubai,Apartment,3,2028.0,False,3379000.0,216300.0
2019-03-24,Dubai Hills Estate,Villa,5,4027.0,False,6020000.0,341100.0
2019-03-25,Business Bay,Townhouse,5,3607.0,False,5430000.0,407400.0
2019-03-25,Dubai South,Apartment,0,504.0,False,328000.0,24000.0
2019-03-25,Palm Jumeirah,Villa,6,3915.0,True,8015000.0,463300.0
2019-03-25,Dubai Marina,Apartment,2,1396.0,False,1840000.0,112600.0
2019-03-25,International City,Apartment,2,1026.0,False,491000.0,44700.0
2019-03-26,Dubai South,Apartment,3,1689.0,False,1056000.0,74400.0
2019-03-26,Dubai Hills Estate,Apartment,2,1458.0,False,2178000.0,144000.0
2019-03-27,Jumeirah Village Circle,Apartment,3,1757.0,False,1167000.0,97000.0
2019-03-27,Downtown Dubai,Apartment,2,1353.0,True,2236000.0,132200.0
2019-03-27,Jumeirah Village Circle,Apartment,1,781.0,False,662000.0,51300.0
2019-03-28,Jumeirah Village Circle,Apartment,0,521.0,False,367000.0,25200.0
2019-03-28,Dubai South,Apartment,0,337.0,False,274000.0,20200.0
2019-04-01,Downtown Dubai,Apartment,1,1006.0,True,2140000.0,141600.0
2019-04-01,Dubai Marina,Apartment,0,436.0,False,634000.0,53500.0
2019-04-01,International City,Townhouse,5,3381.0,False,1513000.0,129100.0
2019-04-01,Dubai South,Apartment,0,459.0,True,288000.0,21300.0
2019-04-01,Downtown Dubai,Apartment,3,1965.0,False,3839000.0,202500.0
2019-04-02,Jumeirah Village Circle,Apartment,3,1854.0,False,1436000.0,124700.0
2019-04-02,Business Bay,Apartment,0,438.0,False,568000.0,38300.0
2019-04-02,Dubai Marina,Apartment,1,737.0,False,1183000.0,81300.0
2019-04-02,Dubai Hills Estate,Villa,3,2927.0,True,3160000.0,164000.0
2019-04-02,Jumeirah Village Circle,Apartment,0,449.0,False,342000.0,26300.0
2019-04-02,International City,Apartment,1,1031.0,False,486000.0,50400.0
2019-04-02,Downtown Dubai,Apartment,2,1204.0,False,1997000.0,93800.0
2019-04-03,Downtown Dubai,Apartment,3,1974.0,True,3516000.0,197000.0
2019-04-03,Jumeirah Lake Towers,Apartment,3,1158.0,False,1117000.0,71600.0
2019-04-03,International City,Apartment,1,618.0,True,237000.0,21000.0
2019-04-03,Downtown Dubai,Apartment,2,1295.0,False,2289000.0,129000.0
2019-04-03,Dubai Marina,Apartment,3,1843.0,True,2301000.0,147800.0
2019-04-03,Downtown Dubai,Apartment,1,745.0,False,1289000.0,71700.0
2019-04-04,Arabian Ranches,Apartment,2,1534.0,False,1259000.0,78900.0
2019-04-04,Business Bay,Apartment,1,919.0,False,1389000.0,101500.0
2019-04-04,International City,Apartment,3,1659.0,False,904000.0,92400.0
2019-04-04,Dubai Hills Estate,Apartment,0,337.0,False,382000.0,22400.0
2019-04-05,Palm Jumeirah,Townhouse,5,3326.0,False,8148000.0,408000.0
2019-04-05,Jumeirah Village Circle,Apartment,0,528.0,False,410000.0,36800.0
2019-04-05,Dubai Hills Estate,Apartment,2,1320.0,True,1445000.0,72900.0
2019-04-05,Dubai Hills Estate,Apartment,0,455.0,False,699000.0,44300.0
2019-04-06,Jumeirah Lake Towers,Apartment,1,745.0,True,709000.0,57000.0
2019-04-06,Downtown Dubai,Apartment,1,730.0,False,1391000.0,86800.0
2019-04-06,Jumeirah Village Circle,Apartment,3,1608.0,False,1316000.0,95500.0
2019-04-07,Jumeirah Lake Towers,Apartment,1,963.0,True,972000.0,67200.0
2019-04-07,Arabian Ranches,Apartment,3,1621.0,False,1978000.0,104600.0
2019-04-07,Dubai Hills Estate,Apartment,3,1994.0,True,2497000.0,157000.0
2019-04-07,Downtown Dubai,Apartment,1,832.0,False,2002000.0,132100.0
2019-04-07,Dubai Hills Estate,Apartment,1,947.0,False,1186000.0,70600.0
2019-04-08,Dubai Hills Estate,Apartment,2,1391.0,True,2100000.0,121000.0
2019-04-08,International City,Apartment,2,1538.0,False,534000.0,51400.0
2019-04-08,Business Bay,Apartment,0,470.0,False,684000.0,34200.0
2019-04-09,Palm Jumeirah,Apartment,0,436.0,True,1144000.0,51200.0
2019-04-09,Jumeirah Village Circle,Apartment,0,481.0,False,429000.0,30700.0
2019-04-09,Palm Jumeirah,Townhouse,5,3350.0,False,8373000.0,400000.0
2019-04-09,Jumeirah Village Circle,Apartment,0,449.0,False,387000.0,34700.0
2019-04-09,Downtown Dubai,Apartment,2,1172.0,False,2047000.0,118500.0
2019-04-10,Downtown Dubai,Apartment,0,429.0,True,884000.0,48100.0
2019-04-10,Dubai Marina,Apartment,3,1920.0,False,2641000.0,147100.0
2019-04-10,Business Bay,Apartment,3,1470.0,True,1862000.0,116700.0
2019-04-10,Dubai Marina,Apartment,0,409.0,False,537000.0,36600.0
2019-04-10,International City,Apartment,3,1625.0,True,656000.0,55300.0
2019-04-10,Dubai South,Apartment,0,537.0,True,414000.0,34100.0
2019-04-10,Palm Jumeirah,Townhouse,4,2834.0,True,6160000.0,283200.0
2019-04-11,International City,Apartment,1,1026.0,False,432000.0,38200.0
2019-04-11,Palm Jumeirah,Apartment,0,315.0,True,592000.0,26800.0
2019-04-12,Jumeirah Lake Towers,Apartment,2,1247.0,True,1145000.0,91600.0
